question,option,answer,university,explanation,field
Fourteen members of the team (      ) the new virus.,came down in/came down at/came down with/came down from,came down with,熊本県立大,"「（風邪やインフルエンザなどの）病気にかかる」を意味する超重要句動詞（イディオム） 〈come down with ~〉 の知識問題。後ろに the new virus（新しいウイルス）という病気の原因となる名詞が続いているため、型通りに前置詞 with を伴った [came down with] が正解。他の前置詞（in, at, from）ではこの意味を構成できないため完全に不可。",４択問題
"Before the ceremony can begin, (      ).",crowd has to be seat/the crowd has to be seated/crowd has to seated/the crowd has to be seat,the crowd has to be seated,熊本県立大,集合名詞 crowd の冠詞の処理と、動詞 seat の語法を融合させた大定番の罠問題。まず、特定の「群衆、観客」を指すため定冠詞を伴った 【the crowd】 にする必要がある。さらに、他動詞 seat は「〜を席につかせる」という意味であるため、「（観客が）席に座る、着席する」と言う場合は 〈be seated〉 という受動態の形にする絶対ルールがある。したがって、これらをすべて満たした [the crowd has to be seated] が正解。,４択問題
The chief engineer checked to see (      ) the lines were connected.,weather or not/whether or not/whether not/weather not,whether or not,熊本県立大,福岡大の(g)番（Whether）などの完璧な横展開となる、名詞節を導く接続詞の識別とスペル問題。動詞 see の目的語（〜かどうかを確認する）となる名詞の塊を作るため、「〜かどうか」を意味する接続詞の whether を用いる。さらに 〈whether or not ~〉（〜かどうか）という大定番の形を構成している [whether or not] が正解（weather は「天気」という名詞なので完全に不可。また or が欠落した whether not も不可）。,４択問題
The Space Group's (      ) was successful.,seventeenth mission Mars/seventeenth mission from Mars/seventeenth mission to Mars/seventeenth mission among Mars,seventeenth mission to Mars,熊本県立大,名詞 mission（任務、宇宙飛行）と結びつく適切な前置詞（コロケーション）を問う良問。文脈は「スペースグループの【17回目の火星への任務（火星探査）】は成功した」となる。英語で「〜への任務、〜行きの飛行」と言う場合、目的地や方向を表す前置詞の 【to】 を用いて 〈mission to ~〉 と表現する決まりがある。したがって、[seventeenth mission to Mars] が正解。,４択問題
I would like you (      ) the user's manual for the computerized accounting system.,will update/are updating/to update/updating,to update,防衛大,第5文型をつくる重要動詞の語法問題。〈would like + 目的語（O） + to do〉 の型で、「Oに〜してほしい（wantの丁寧な表現）」という意味を表す。今回は目的語の位置に you があるため、後ろの空所には不定詞の to update を配置するのが文法的に完全に正しい。したがって、to update が正解。,４択問題
The director believes the detective series will attract (      ) audience.,a lot of/many/much/a large,a large,防衛大,集合名詞 audience（聴衆、観客、視聴者）を修飾する正しい形容詞の知識を問う大定番の罠問題。英語において audience は「個人の数」ではなく「聴衆という1つの塊（グループ）」として捉えるため、その規模が「多い、大きい」と言う場合は many や much ではなく、【large】（小さい場合は small）を用いる原則がある。したがって、単数名詞の audience の前に冠詞を伴って配置した a large が正解。,４択問題
Every member of this research project is aware of the fact that they are (      ) time before the deadline.,running out of/getting risk of/nothing but/no less than,running out of,防衛大,文脈に合う適切な重要句動詞（イディオム）を選ぶ問題。文脈は「この研究プロジェクトのすべてのメンバーは、締め切り前に自分たちの【時間がなくなってきている】という事実に気づいている」となる。英語で「（時間やお金など）を使い果たす、〜がなくなる」を表す熟語は 〈run out of ~〉 であるため、running out of が正解。nothing but は「〜にすぎない」、no less than は「〜もの（数量の強調）」となり不適。,４択問題
(      ) my relatives live in Fukuoka.,Almost/Almost of/Most/Most of,Most of,防衛大,受験生が最も勘違いしやすい almost と most の語法識別問題。空所の後ろを見ると [my relatives] と、「所有格（my）のついた特定の名詞」が続いている。almost は【副詞】（ほとんど）であるため、直接名詞の my relatives や of を修飾することはできず不可（Almost all my~ なら可）。most は【代名詞】（大部分、ほとんど）として使え、〈most of + 特定の複数名詞〉 の型で「〜の大部分」を表すことができるため、Most of が正解。,４択問題
The cutter race was postponed. The water was surprisingly cold (      ) that time of year.,beyond/for/on/towards,for,防衛大,前置詞が持つ固有のニュアンス（コアイメージ）を正確に見抜く良問。文脈は「カッターレースは延期された。水は【一年のその時期にしては（時期のわりには）】驚くほど冷たかった」となる。英語で「〜のわりには、〜を考慮に入れると」という【基準・割合】を表す場合、前置詞の 【for】 を用いる原則がある。したがって for が正解。beyond（〜を超えて）、on（〜の表面に）、towards（〜の方へ）は文脈上すべて不適。,４択問題
(      ) Leonardo da Vinci painted this picture or not will probably remain a mystery.,That/Lest/Whether/Unless,Whether,防衛大,福岡大の(g)番や熊本県立大19番の完璧な横展開となる、名詞節を導く接続詞の識別問題。文全体の動詞（本動詞）は後ろの will probably remain であり、空所から or not までが文全体の巨大な【主語（名詞節）】になっている。さらに、後ろに 【or not】 を伴っていることから、「〜かどうか」を意味する接続詞の 【Whether】 を用いて 〈Whether ~ or not〉 の形を構成するのが正しい。したがって Whether が正解。that節（〜ということ）は or not を伴えず、主語の塊を作れない lest（〜しないように）や unless（〜でなければ）も不可。,４択問題
The little boy narrowly escaped (      ) run over by a dump truck.,be/being/to be/was,being,防衛大,動詞 escape の語法と受動態の融合を問う難関レベルの罠問題。まず、動詞 escape（免れる、逃れる）は後ろに目的語を伴う場合、不定詞（to do）ではなく【動名詞（-ing）しか後ろに置けない（メガフェプスの一種）】という絶対ルールがある。さらに、男の子はトラックに「ひかれる（受動）」のを免れたという文脈であるため、動名詞の受動態 〈being + 過去分詞〉 の形にしなければならない。したがって、空所の後ろの run（過去分詞）と結びついて受動態を構成する being が正解。,４択問題
I'm sorry to have kept you (      ) so long.,to wait/waiting/being waited/waited,waiting,防衛大,第5文型をつくる動詞 keep の語法問題。〈keep + 目的語（O） + 補語（C）〉 の形をとり、「Oを〜な状態にさせておく」という意味を表す。目的語（O）である you（あなた）と動詞 wait（待つ）の関係を考えると、あなたが「自ら待つ（能動・進行）」という関係が成り立つため、Cの位置には現在分詞（-ing）を配置する絶対ルールがある。したがって、〈keep you waiting〉 の形を構成する waiting が正解。,４択問題
I've got a headache. (      ),I had had it since I got up./I had it since I got up./I'm having it since I got up./I've had it since I got up.,I've had it since I got up.,防衛大,秋田県立大の4番（have been discussing）などの系統となる、起点（ since ）を伴う時制の識別問題。文末に 〈since I got up〉（起きてから【ずっと】）という、過去の起点から現在まで続いている「継続」を表す副詞節があるため、主節の動詞は現在完了形（ have + 過去分詞）にする必要がある。さらに、前提として「頭痛がしている（ I've got a headache ）」と現在形（現在完了形による状態表現）で述べているため、過去完了形ではなく現在完了形を用いた I've had it since I got up. が正解。,４択問題
The poor boy (      ) again.,got robbed his bike/had his bike stolen/let his bike to be robbed/was stolen his bike,had his bike stolen,防衛大,「〜を盗まれる」という被害の表現と、動詞 steal / rob の語法を融合させた大定番の罠問題。英語において steal は 〈steal + 物 + from + 人〉（物を盗む）、rob は 〈rob + 人 + of + 物〉（人から物を奪う）という決定的な型の違いがある。4番の was stolen his bike は「自転車を盗まれた」という日本語につられて受験生が最も選びやすいが、steal の型（他動詞の目的語は物）から考えると文法的に完全に崩壊しているため不可。〈have + 物（O） + 過去分詞（C）〉 の第5文型を用いて「Oを〜される（被害）」を表し、Cの位置に steal の過去分詞を正しく置いた had his bike stolen が正解。,４択問題
Come and see me whenever (      ).,you are convenient/you will be convenient/it is convenient for you/it were convenient for you,it is convenient for you,防衛大,形容詞 convenient（都合が良い）の主語の制限（語法）を問う大定番問題。英語において convenient は「物事や状況」の利便性を表す形容詞であるため、【人を主語にすることはできない】というルールがある。したがって、you を主語にしている1番と2番は完全に不可。状況を表す仮主語の it を立てて、〈it is convenient for 人〉（人が都合が良い）の形を作っている it is convenient for you が正解（wheneverは時を表す副詞節を導くため、未来のことでも will は使わず現在形にする）。,４択問題
The Mimura Castle was heavily damaged in the earthquake. So it (      ) at the moment. The work is almost finished.,is being restored/is restoring/was restored/has restored,is being restored,防衛大,文脈から適切な時制と能動・受動の関係を見抜く良問。主語の it は The Mimura Castle（三村城＝建物）を指している。城と動詞 restore（〜を修復する）の関係を考えると、城は「修復される（受動）」という関係になる。さらに、文末に 〈at the moment〉（たった今、現在）という表現があり、後ろの文で「作業はほとんど終わっている」と述べていることから、現在まさに修復工事が進行中であるという【現在進行形の受動態（ am/is/are + being + 過去分詞）】にする必要がある。したがって、is being restored が正解。,４択問題
"What a lovely hat, Mrs. Dalloway. It (      ) quite well with your outfit.",arranges/goes/suits/wears,goes,防衛大,衣服やコーディネートに関する動詞のコロケーション（結びつき）を問う良問。文脈は「なんて素敵な帽子かしら。あなたの服にとても【よく合っています】」となる。空所の後ろに前置詞の 【with】 が残っているのが最大のヒントであり、英語で「（2つの物の相性が良く）〜に似合う、〜と調和する」と言う場合、〈go well with ~〉 という大定番のフレーズを用いる。したがって goes が正解。suit（〜に似合う）は他動詞なので目的語（名詞）を置く必要があり（ It suits your outfit なら可）、前置詞 with と結びつけられないため不可。,４択問題
"At Narita Airport I found that I (      ) my passport at home, and I didn't know what to do.",had left/had been leaving/was leaving/has left,had left,防衛大,主節の動詞よりさらに過去の出来事（大過去）を表す過去完了形の知識問題。成田空港で気づいた（ found：過去形）内容である「家にパスポートを置き忘れてきたこと」は、気づいた時点よりも【さらに前（過去の過去）】に発生した事実である。このように、過去の特定の時点よりも前に起こった出来事を表す場合は、〈had + 過去分詞〉 の形をした過去完了形（大過去用法）を用いる絶対ルールがあるため、had left が正解。,４択問題
(      ) did you think of the President's commencement address?,How/What/Which/Who,What,防衛大,相手に意見や感想を求める際の疑問詞の識別問題。日本語の「大統領の卒業式の告辞を【どう】思いましたか」という表現につられて How を選びがちだが、動詞 think は他動詞であり、後ろに 〈think of + 名詞〉（〜について考える、〜という意見を持つ）の型を持つ。今回は of の後ろの「内容（物事）」を疑問詞に変えて文頭に置く必要があるため、名詞の役割（目的語）を果たせる疑問代名詞の 【What】 を用いるのが原則である。したがって What が正解（How は副詞なので think の目的語になれず完全に不可。なお、How did you like ~? なら同義で可）。,４択問題
"Excuse me, could you tell me (      ) the NDA?",where to go/how to arrive/where to reach at/how to get to,how to get to,防衛大,目的地への到着・移動を表す動詞の語法（自動詞・他動詞）の識別問題。空所の後ろに the NDA（防衛大学校：National Defense Academy の略＝名詞の塊）が直接残っている。1番の where to go は go が自動詞のため後ろに to が欠落しており不可。2番の arrive も自動詞のため arrive at にする必要があり不可。3番の reach は他動詞なので前置詞 at は不要であり不可。4番の 〈get to + 名詞〉 は「〜に到着する」を意味する自動詞フレーズであり、〈how to get to ~〉 で「〜への行き方」を表すため、これが文法的に 100% 正解。,４択問題
"(      ) being no bus service in the remote village, they had to use a taxi.",While/With/There/Having,There,防衛大,理由を表す分詞構文において、意味上の主語を正しく配置する「独立分詞構文」の難問。主節の主語は they（彼ら）であるが、分詞の塊の元の意味は「バスの便がない（ There was no bus service ）」という、主節とは異なる主語である。このように 〈There is/are ~〉 の文を分詞構文にする場合、意味上の主語として 【There】 を分詞 being の直前にそのまま残さなければならないという原則がある（ There being ~ ）。したがって There が正解。While は後ろに文が必要、With は 〈with + 名詞 + 分詞〉 の形（付帯状況）にする必要があり名詞の欠落のため不可。,４択問題
The suspect was (      ) the cellar by the landlord.,seen enter/seeing to enter/seen entering/entered to see,seen entering,防衛大,秋田県立大の6番（sing）などの系統であり、さらにそれを「受動態」へと発展させた知覚動詞 see の最重要語法問題。能動態の 〈see + 目的語（O） + 現在分詞（C）〉（Oが〜しているのを目撃する）を受動態にすると、目的語が主語（ The suspect ）に飛び出し、補語（C）である現在分詞（ entering ）がそのまま動詞の後ろに直下して残る（ be seen + -ing ）。したがって、[seen entering] が文法的に完全に正しい。1番の seen enter は、原形不定詞の enter が受動態では 【to enter】 に変化しなければならない（ be seen to do ）という絶対ルールに反するため不可。,４択問題
This room is for (      ) use of women.,exclusively/exclude/excluding/exclusive/exclusivism,exclusive,防衛医科大,名詞を前から修飾する正しい品詞（形容詞）の識別問題。空所の後ろにある use は、前置詞 for の目的語として機能している【名詞】（使用、利用）である。名詞を前から修飾して「〜な使用」という塊を作るためには、【形容詞】を入れるのが原則である。したがって、「独占的な、専用の」を意味する形容詞の exclusive が正解（ for the exclusive use of ~ で「〜の専用、〜の独占使用のために」という大定番の重要フレーズを構成する）。exclusively は副詞、exclusivism は名詞（排他主義）なので不可。,４択問題
Eight (      ) by seven makes fifty-six.,covered/multiplied/divided/put/selected,multiplied,防衛医科大,数式（四則演算の掛け算）を英語で正しく表現できるかを問う理系・医学部系特有の重要問題。文脈は「8【倍された】7によって、は56になる」つまり「8 × 7 ＝ 56」を表している。英語で掛け算は 〈A multiplied by B makes/is C〉（AにBを掛けたらCになる）という固定の型（過去分詞を用いた表現）で表す絶対ルールがあるため、multiplied が正解。ちなみに割り算（÷）なら divided by、足し算（＋）なら plus、引き算（−）なら minus を用いる。,４択問題
"Developing drugs can be (      ), but now a tiny, DNA-based sensor may help streamline the task.",hit or miss/more or less/hit and run/large or small/unevenness,hit or miss,防衛医科大,文脈に合う適切な口語表現・形容詞句（イディオム）の語彙問題。逆接の接続詞 but の後ろに「DNAベースのセンサーがその作業を効率化（合理化）するのに役立つかもしれない」とあるため、前半は「新薬の開発は【一か八か（成功するか失敗するか分からない）】になり得るが〜」というニュアンスが入ると論理的に完璧に辻褄が合う。したがって、「一か八かの、運任せの、当たり外れのある」を意味する hit or miss が正解。more or less は「多かれ少なかれ」、hit and run は「ひき逃げ」となり不適。,４択問題
"A stream is a system. It includes not just the water coursing between the banks (      ) the earth, life and water around and under it.",only/also/but/whether/and,but,防衛医科大,前半の文に【not just】（〜だけでなく）という表現がある。これは大定番の重要構文である〈not only A but also B〉（AだけでなくBも）のonlyをjustに言い換えた表現（not just A）であるため、後ろの空所には一対となる【but】を配置して〈not just A but B〉の形を完成させるのが正解（alsoは省略されることが非常に多い）。onlyやalso単体、andなどを空所に入れると構造が崩壊するため不可。,４択問題
The cruel shelling caused thousands of civilian (      ).,blessings/casualties/morbidities/poisoners/salvation,casualties,防衛医科大,国際情勢や紛争・災害のニュース等で最頻出となる、医学部・難関大必須の高度な名詞の語彙問題。文脈は「その残忍な砲撃は、何千人もの民間人の【死傷者（犠牲者）】を出した（引き起こした）」となる。英語で、戦争や事故などによる「死傷者、犠牲者」を表す名詞は casualty（通例、複数形の casualties ）であるため、これが完全に正解（ civilian casualties で「民間人の死傷者」という超重要コロケーションとなる）。blessings は「祝福」、morbidities は「罹患率」、salvation は「救済」となり完全に不適。,４択問題
"With all the mess, the visitors didn’t have a positive (      ) of the room.",projection/version/provision/impression,impression,芝浦工業大,名詞の適切なコロケーション（結びつき）を問う問題。文脈は「（部屋が）ひどく散らかっていたので、訪問者たちはその部屋に【良い印象】を持たなかった」となる。英語で「〜に（良い）印象を持つ、受ける」と言う場合、〈have a (positive) impression of ~〉 という大定番のフレーズを用いるため、impression（印象）が正解。projection は「投影・予測」、version は「版・バージョン」、provision は「供給・規定」となり文脈上不可。,４択問題
"When I was an undergraduate student, I was (      ) by foreign films.",via/despite/aboard/captivated,captivated,芝浦工業大,秋田県立大の9番（amusing）や防衛大8番などの系統となる、心理動詞の受動態の問題。文脈は「私が学部生だった頃、外国の映画に【魅了されていた（心を奪われていた）】」となる。英語で「〜に魅了される、うっとりする」と言う場合、他動詞 captivate（〜を魅了する）を過去分詞にして受動態にした 〈be captivated by ~〉 の形を用いる絶対ルールがあるため、captivated が正解。via（〜経由で）や despite（〜にもかかわらず）は前置詞、aboard（〜に乗って）は副詞・前置詞であり、動詞の位置に入れないため完全に不可。,４択問題
"Your vehicle should be serviced at the garage on a (      ) basis, for example, every 12 months.",advanced/regular/separate/customary,regular,芝浦工業大,"「定期的に」を表す最重要の形容詞・副詞句の知識問題。空所の後ろにある「for example, every 12 months（例えば12ヶ月ごと）」という具体的な頻度の説明が最大のヒント。英語で「定期的に、一定の基準で」と言う場合、〈on a regular basis〉 というビジネスや日常で最頻出の固定フレーズを用いる絶対ルールがある。したがって regular が正解。advanced は「進んだ」、separate は「離れた」、customary は「慣習的な」となり不可。",４択問題
The research institute has to take (      ) to prevent accidents in their laboratories.,precautions/shareholders/qualifications/realtors,precautions,芝浦工業大,名詞の重要コロケーション（結びつき）を問う問題。文脈は「その研究所は、実験室での事故を防ぐために【予防策（安全対策）を講じなければ】ならない」となる。英語で「予防策を講じる、用心する」と言う場合、動詞 take と結びついて 〈take precautions〉 という大定番のフレーズを作るルールがある。したがって precautions（予防策・用心）が正解。shareholders は「株主」、qualifications は「資格」、realtors は「不動産業者」となり完全に不適。,４択問題
I want to concentrate on my studies. Please do not (      ) me while I am studying.,demonstrate/interrupt/endorse/describe,interrupt,芝浦工業大,文脈に合う適切な動詞の語彙問題。前半で「私は勉強に集中したい」と述べており、後ろに「私が勉強している間は〜」と続いていることから、空所には「私の【邪魔をしないで（話を遮らないで）】ください」というニュアンスが入るのが論理的に最も自然である。したがって、「〜を妨げる、中断させる、邪魔する」を意味する他動詞 interrupt が正解。demonstrate は「証明する・デモをする」、endorse は「支持する・裏書する」、describe は「描写する」となり不適。,４択問題
"For freshmen, it is (      ) to take this course.",rectangular/compulsory/combustible/multilingual,compulsory,芝浦工業大,大学生活の文脈における超重要形容詞の語彙問題。文脈は「新入生にとって、このコースを履修することは【義務的である（必修である）】」となる。英語で「（規則などで）義務づけられた、必修の」を意味する形容詞は compulsory であるため、これが完全に正解（大学の「必修科目」は compulsory subject と表現する）。rectangular は「長方形の」、combustible は「可燃性の」、multilingual は「多言語の」となり文脈上完全に不可。,４択問題
The landlord didn’t give the (      ) of leasing the furniture to his apartment tenants.,stance/mutation/analogy/option,option,芝浦工業大,名詞の適切な語法とコロケーションを問う問題。文脈は「家主はアパートの店借人（住民）に対して、家具をリースする（貸し出す）という【選択肢】を与えなかった」となる。後ろにある 〈of + -ing〉 の塊（家具をリースするという〜）と同格の関係を構成し、「〜という選択肢を与える」という意味を自然に作ることができる名詞は option（選択肢、選択の自由）であるため、これが正解。stance は「立場」、mutation は「突然変異」、analogy は「類推」となり不適。,４択問題
We have found a (      ) that caused errors in calculation in the upgraded system.,miner/hypothesis/malfunction/freighter,malfunction,芝浦工業大,理系大学らしい、システムやエラーに関する名詞の語彙問題。関係代名詞 that の後ろに「アップグレードされたシステム内で計算ミスを引き起こした」という原因が説明されているため、空所には「不具合、エラーの要因」となる名詞を入れるのが論理的である。したがって、「（機械やシステムの）不具合、誤作動、機能不全」を意味する名詞 malfunction が正解。miner は「炭鉱労働者」、hypothesis は「仮説」、freighter は「貨物船」となり完全に不適。,４択問題
Students are (      ) from talking while they are eating.,elected/punished/blamed/prohibited,prohibited,芝浦工業大,防衛大の[7]番（escaped being）などの系統となる、動詞の重要な語法（型）を問う問題。空所の後ろにある前置詞 【from】 が最大のヒント。英語で「（規則などで）Aが〜するのを禁止する」と言う場合、他動詞 prohibit を用いて 〈prohibit A from -ing〉 の型を作る。今回はこれが受動態になった形（ A is prohibited from -ing ：Aは〜することを禁止されている）であるため、prohibited が正解（「生徒たちは食事中に話すことを禁止されている」という文脈に）。blame や punish はこの型を綺麗に取れないため不可。,４択問題
The patients who took the medicine showed (      ) improvement in their health condition.,an immense/a fiscal/a graduate/an adjoining,an immense,芝浦工業大,医療・健康の文脈における適切な形容詞の語彙問題。文脈は「その薬を服用した患者たちは、健康状態に【計り知れない（莫大な、ものすごい）】改善を示した」となる。英語で「（数量・程度・規模などが）莫大な、計り知れない、非常に優れた」を表す形容詞は immense であるため、これが正解（ an immense improvement で「劇的な改善」という大定番のコロケーションになる）。fiscal は「財政の」、graduate は「大学院の」、adjoining は「隣接する」となり完全に不適。,４択問題
It was (      ) unlikely that he said such a thing.,heavily/highly/poorly/undoubtedly,highly,聖心女子大,確率や可能性を表す形容詞（likely / unlikely / probable など）を強調する正しい副詞の識別問題。日本語の「その可能性は【非常に】低い（ありそうにない）」という感覚につられて heavily や poorly などを選びがちだが、英語では可能性の「高い・低い」を表現する際、副詞の 【highly】 を用いて修飾する原則がある（ highly unlikely で「可能性が極めて低い、まずあり得ない」という大定番のコロケーションになる）。したがって highly が正解。,４択問題
"If you refer to the frequencies of something, you are talking about how (      ) it occurs.",far/often/long/many,often,聖心女子大,英単語の「定義」を論理的に見抜く国公立・難関大特有の良問。前半に「もしあなたがある事柄の frequencies（頻度・回数）について言及しているなら」とある。後半は「あなたはそれが【どのくらい頻繁に】起こるかについて話しているのだ」と繋ぐのが論理的に100%正しい。英語で頻度を尋ねる・表す表現は 〈how often〉（どれくらい頻繁に、何回）であるため、often が正解。far は距離や程度、long は期間、many は数を表すため不可。,４択問題
"Sam and Sue went out together for a long time, and are now happily married to (      ).",each other/someone else/themselves/the other,each other,聖心女子大,文脈に合う適切な代名詞（相互代名詞）の知識問題。文脈は「サムとスーは長い間付き合っており、今は幸せに【お互いと】結婚している」となる。英語で「お互いに」を意味する相互代名詞は 【each other】 であり、さらに be married to ~（〜と結婚している）という表現の後ろに結びついて 〈be married to each other〉（お互いに結婚している）という完璧な塊を作る。したがって each other が正解。themselves（彼ら自身）や someone else（他の誰か）は文脈上完全に不可。,４択問題
Learning how to manage your job is part and (      ) of becoming an adult.,pace/parcel/pick/piece,parcel,聖心女子大,2つの名詞が結びついた、知っているだけで1秒で解ける超重要成句（イディオム）の知識問題。英語には、〈part and parcel of ~〉 という固定のフレーズがあり、「（避けることのできない）〜の本質的な部分、〜の要（かなめ）、〜につきもの」という意味を表す原則がある（文脈は「仕事の管理方法を学ぶことは、大人になることの【本質的な一部分（つきもの）】である」となる）。したがって、この型を構成する parcel が正解。他の名詞ではこの意味を作れない。,４択問題
The pavement is uneven. You must (      ) your step.,behave/care/look/mind,mind,聖心女子大,芝浦工業大の3番（uneven）の完璧な横展開であり、日常や駅のアナウンス等でも最頻出となる注意喚起の定型表現問題。前半で「歩道が uneven（平らではない、ガタガタしている）」と警告しているため、後ろは「足元に【注意し】なければならない」となる。英語で「（動いているものや危険なものに）注意を払う、気をつける」と言う場合、他動詞 mind を用いて 〈mind your step〉（足元にご注意ください）という決まり文句を作るルールがある。したがって mind が正解。look を使う場合は look at などの前置詞が必要であり、直接 step を目的にできないため不可。,４択問題
Don't expect (      ) of him. He is only seven.,very little/very few/too little/too much,too much,聖心女子大,代名詞の数量表現と、文脈に合う適切なフレーズを選ぶ問題。後ろの文に「彼はまだたったの7歳だ」という理由が説明されている。ここから論理的に考えると、前半は「彼に【多くを期待し】すぎてはいけない」という文脈にするのが最も自然である。英語で「（期待や要求など）多くを求めすぎる、過度の期待をする」と言う場合、expect の後ろに名詞として機能する too much（あまりに多くのこと）を配置して 〈expect too much of ~〉 という型を作る。したがって too much が正解。,４択問題
"When you remember something in the past nostalgically, you say ""the good old (      ).""",days/memory/period/time,days,聖心女子大,過去を懐かしむ際によく使われる、超定番の慣用表現（決まり文句）の知識問題。問題文に「過去のことをnostalgically（懐かしそうに、ノスタルジックに）思い出すとき」と説明がある。英語で「（古き良き懐かしい思い出を指して）古き良き【時代】、あの頃」と言う場合、名詞のdayを複数形にして【the good old days】という固定フレーズ（塊）で表現する原則がある。したがってdaysが正解。memoryやperiod、timeではこの定型表現を作れない。,４択問題
I don't think their policy represents the views of the silent (      ).,crowds/majority/people/voices,majority,聖心女子大,政治、経済、ニュース等で非常によく使われる世界的な超重要時事表現（コロケーション）の知識問題。文脈は「彼らの政策が【物言わぬ（サイレント）マジョリティ（静かなる多数派）】の意見を代表しているとは私は思わない」となる。英語で、積極的な発言はしないが社会の大部分を占める多数派（物言わぬ大衆）のことを、形容詞silentと名詞majorityを結びつけて【the silent majority】と呼ぶ絶対の決まりがある。したがってmajorityが正解。,４択問題
The author says that bureaucrats' primary concern is not to be burdened (      ) responsibilities.,in/of/on/with,with,聖心女子大,動詞 burden（〜に荷を負わせる、負担をかける）が受動態になった際の、適切な前置詞の結びつきを問う問題。英語では、〈burden A with B〉（AにBという重荷・負担を負わせる）という固定の型があり、これが受動態になると 【be burdened with ~】（〜の負担を負う、〜に苦しむ）という絶対的な形になる。文脈は「官僚たちの主な関心は、責任という重荷を【負わされない】ことだと著者は言っている」となるため、with が正解。,４択問題
The ball is in your court. It is your (      ) to take action.,count/loss/rule/turn,turn,聖心女子大,テニスなどの球技に由来する、日常会話やビジネスで超頻出の重要口語表現（比喩表現）の知識問題。〈The ball is in your court.〉 は「ボールは君のコートにある」から転じて、「（次にどうするかは）君次第だ、君の責任だ」という意味を表す。これを受ける後ろの文は「行動を起こすのは君の【番】だ」と繋ぐのが論理的に100%正しい。したがって、「順番」を意味する名詞の turn が正解。,４択問題
My car broke down and I had my wallet stolen! It never rains but it (      ).,drizzles/flows/pour/swarms,pours,聖心女子大,防衛大の[10]番（had his bike stolen）の完璧な横展開（被害のhave）を含みつつ、英語の超定番のことわざを完成させる知識問題。前半で「車が故障した上に、財布まで盗まれた！」と不幸が重なっている。英語で「降れば必ず土砂降りになる」から転じて、「不幸は重なるものだ、踏んだり蹴ったりだ」を意味することわざは英語でIt never rains but it pours.という。,４択問題
He would be nicer if he (      ) play the fool so much.,didn't/hadn't/shouldn't/won't,didn't,聖心女子大,秋田県立大の5番や熊本県立大13番などの系統となる、現在の事実とは反対の仮定を表す【仮定法過去】の時制・助動詞の問題。主節が He would be と 〈助動詞の過去形 ＋ 動詞の原形〉 になっているため、if節の中も仮定法過去（動詞の過去形）にする必要がある。空所の後ろに play（動詞の原形）が残っているため、一般動詞の否定の過去形を作るための助動詞 【didn't】 を配置するのが文法的に 100% 正しい。文脈は「彼があれほど馬鹿な真似を【しなければ】、もっと良い人なのだが」となる。,４択問題
She looked (      ) me like my real mother.,after/aside/before/beside,after,聖心女子大,前置詞と結びついて特定の意味を構成する重要句動詞（イディオム）の知識問題。文末の「まるで私の本物の母親のように」という表現が最大のヒント。英語で「（子供などの）世話をする、面倒を見る」と言う場合、動詞 look と前置詞 after を結びつけて 〈look after ~〉 という大定番のフレーズを作る原則がある（文脈は「彼女は本当の母親のように私の【面倒を見てくれた】」となる）。したがって after が正解。look before（〜の前に見る）などは不適。,４択問題
Susan's work is always very neat and (      ).,messy/order/tense/tidy,tidy,聖心女子大,等位接続詞 and で結ばれる形容詞の同義語（コロケーション）を問う問題。and の前にある形容詞 neat は「きちんとした、小綺麗な」という意味であるため、and の後ろにもそれと同義・ポジティブなニュアンスを持つ形容詞を並べるのが正しい。英語では、〈neat and tidy〉 で「整理整頓された、綺麗に片付いた」という非常に相性の良い大定番のセットフレーズを作る。したがって tidy が正解。messy は「散らかった（反意語）」、order は名詞、tense は「緊張した」となり不可。,４択問題
"If you pay for something yourself, you will pay for it out of your own (      ).",change/hand/means/pocket,pocket,聖心女子大,日本語の「自腹を切る、自分のポケットマネーから出す」という感覚とも完全にと合致する、お財布にまつわる比喩表現の知識問題。問題文に「もしあなたが何かに対して自分自身でお支払いを表すなら」と説明がある。英語で「（他人の財源や会社の経費ではなく）自分の金で払う、自腹で支払う」と言う場合、前置詞 out of を伴って 〈out of one's own pocket〉 という固定フレーズ（塊）で表現する絶対の決まりがある。したがって pocket が正解。,４択問題
"The criminal's actions were determined to be (      ), because he planned the crime in advance and targeted specific victims.",magnificent/objective/malicious/subjectivity,malicious,聖路加国際大,文脈に合う適切な形容詞の語彙問題。理由を表す because 以下の文で「彼は事前に犯罪を計画し（ planned in advance ）、特定の被害者を標的にしていた（ targeted specific victims ）」と説明されている。ここから論理的に考えると、その犯罪者の行動は「悪意のあるもの」と判断されたと繋ぐのが 100% 正しい。したがって、「悪意のある、敵意に満ちた」を意味する形容詞 malicious が正解。magnificent は「壮大な」、objective は「客観的な」、subjective は「主観的な」となり不適。,４択問題
